,count,count
410,"['pistols', 'pistol, flintlock', 'pistol; firearms; navy; flintlock; .68 in; smooth bore; muzzle load; sa']",2
411,['busts'],2
412,"['stipple engraving', 'prints']",2
413,['fabric fragment'],2
414,['fabric sample'],2
415,"['ships', 'models']",2
416,"['trumpet, speaking']",2
417,['engine jack'],2
418,"['lace, border, fragment']",2
419,['prescription label'],2
420,['spherometer'],2
421,"['jar, apothecary, syrup']",2
422,['canteens (vessels)'],2
423,"['paintings', 'portraits']",2
424,['chemise'],2
425,['pay order'],2
426,"['balances (scales)', 'scale rule']",2
427,"['soda glass, holder', 'holder, soda glass; soda fountain; furnishings', 'holder, soda glass']",2
428,"['newspapers, set of', 'relief processes']",2
429,"['sheet (paper)', 'engravings (prints)', 'paper (fiber product)', 'sheet']",2
430,['orreries'],2
431,"['mold, butter cheese, part of']",2
432,"['mold, cheese', 'mold, butter']",2
433,"['mold, butter, handle']",2
434,"['engravings (prints)', 'mezzotints (prints)', 'prints']",2
435,"['figurines', 'figures (representations)']",2
436,['booklets'],2
437,"['chair; furniture; side; fancy', 'chair, side', 'chairs (furniture forms)']",2
438,"['case, pipe; smoking equipment', 'case, pipe']",2
439,"['box snuff; smoking equipment', 'box, snuff']",2
440,"['painting, glass transfer', 'painting; reverse on glass']",2
441,"['galvano', 'medals', 'medal shell']",2
442,"['eyeglasses; opticals; accessories worn on the body; unknown', 'eyeglasses']",2
443,"['pendant; jewelry; accessories worn on the body; female', 'pendants (jewelry)']",2
444,"['entire body', 'dresses (garments)', 'main garments']",2
445,"['entire body', 'dress, 1 piece', 'dresses (garments)', 'main garments', 'dress, 1 piece; entire body; main dress; female']",2
446,"['buckles; male', 'buckles']",2
447,"['stockings; footwear; accessories worn on the body; male', 'stockings']",2
448,"['fans (costume accessories)', 'fan; accessories carried; female']",2
449,"['waistcoat; upper body; main dress; male', 'waistcoats (garments)', 'upper body', 'main garments']",2
450,"['costume accessories worn', 'caps (headgear)', 'cap; headwear; accessories worn on the body; female', 'headgear']",2
451,"['necklaces', 'necklace; jewelry; accessories worn on the body; female']",2
452,"['medal; presidential; indian peace', 'medals']",2
453,"['medal; indian peace; presidential', 'medals']",2
454,"['neckwear', 'necktie; neckwear; accessories worn on the body; female']",2
455,['snuffboxes'],2
456,"['accessories for the manufacturing of clothing', 'buttons; notions; accessories for the manufacturing of clothing', 'buttons', 'notions']",2
457,"['fashion plate', 'fashion plate; male']",2
458,"['shoes (footwear)', 'shoes, pair of; footwear; accessories worn on the body']",2
459,"['horn; accoutrements', 'horn (animal material)', 'powder horns']",2
460,"['muskets', 'musket, flintlock', 'musket; firearms; flintlock; .72 in; smooth bore; muzzle load; sa']",2
461,"['musket; firearms; flintlock; .78 in; smooth bore; muzzle load; sa', 'muskets', 'musket, flintlock']",2
462,['commission'],2
463,"['muskets', 'musket, flintlock', 'musket; firearms; flintlock; .69 in; smooth bore; muzzle load; sa']",2
464,"['pistols', 'pistol, flintlock']",2
465,"['pistols', 'pistol, flintlock', 'pistol; firearms; flintlock; .54 in; smooth bore; muzzle load; sa']",2
466,['beam balance'],2
467,"['pamphlets; manuscript', 'pamphlets', 'manuscripts']",2
468,['kettles (vessels)'],2
469,['inkwells'],2
470,"['reliefs (sculpture)', 'newspapers', 'prints', 'print; letterpress']",2
471,"['pipe bowl; smoking equipment', 'bowl, pipe']",2
472,['trays'],2
473,['baskets (containers)'],2
474,"['refracting telescope', 'telescope']",2
475,"['spoons', 'flatware', 'spoons']",2
476,['spectacles'],2
477,['sanders (tools)'],2
478,['hydrometer'],2
479,['spatulas (culinary tools)'],2
480,['bellows'],2
481,"['worker, butter']",2
482,['trammel'],2
483,"['pistol; firearms; percussion lock; .54', 'pistols', 'pistol, percussion']",2
484,['hooks (fasteners)'],2
485,"['chair; furniture; arm; windsor', 'armchairs']",2
486,"['mold, gingerbread']",2
487,"['box, candle']",2
488,"['button', 'medals']",2
489,['shovels'],2
490,['skillets'],2
491,['griddles'],2
492,"['lifter, pot']",2
493,"['handle, door']",2
494,"['chair; furniture; side; windsor', 'chair, side']",2
495,"['underwear', 'lower body', 'petticoats (underskirts)', 'petticoat; lower body; underwear; female']",2
496,['telescope (spyglass)'],2
497,"['etchings (prints)', 'print; intaglio; engraving', 'prints']",2
498,"[""publisher's notice""]",2
499,"['miniatures', 'sculpture']",2
500,"['print; etching', 'prints']",2
501,['reliquaries'],2
502,['jackets (garments)'],2
503,"['sheet, paper', 'letterpress', 'prints', 'print; letterpress']",2
504,"['book; bookbinding', 'books']",2
505,"['print; watercolor; watercolor', 'prints']",2
