EDANurl,object_types_str,canonical_type_auto,action_family_auto,canonical_type_manual,action_family_manual
edanmdm:nmah_994541,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994540,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994539,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994537,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994535,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994534,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994532,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994451,['balances (scales)'],balances,Other,balances,Measure & navigate
edanmdm:nmah_994435,['boxes (containers)'],boxes,"Contain, store & preserve",boxes (containers),Heal & care
edanmdm:nmah_994411,"['medicine chest', 'medical chest']",medicine chests,"Contain, store & preserve",medicine chests,Heal & care
edanmdm:nmah_994344,['telescope (spyglass)'],telescopes,Other,telescopes,Heal & care
edanmdm:nmah_994336,['balances (scales)'],balances,Other,balances,Measure & navigate
edanmdm:nmah_994335,['balances (scales)'],balances,Other,balances,Measure & navigate
edanmdm:nmah_994326,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994325,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994323,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994322,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994314,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994313,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994312,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994311,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994309,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994308,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994307,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994300,"['bottles', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994299,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994291,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994290,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994289,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994286,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994285,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994284,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
